Abu Dhabi,Dirham,AED,4.5417
Albania,Lek,ALL,122.9096
Algeria,Dinar,DZD,169.471
Angola,Readj Kwanza,AOA,1032.215
Antigua,E Caribbean Dollar,XCD,3.3419
Argentina,Peso,ARS,432.8249
Armenia,Dram,AMD,474.3925
Aruba,Florin,AWG,2.2136
Australia,Dollar,AUD,1.9067
Azerbaijan,New Manat,AZN,2.1046
Bahamas,Dollar,BSD,1.2367
Bahrain,Dinar,BHD,0.465
Bangladesh,Taka,BDT,135.7564
Barbados,Dollar,BBD,2.4734
Belarus,Rouble,BYN,3.0912
Belize,Dollar,BZD,2.491
Benin,CFA Franc,XOF,757.9707
Bermuda,Dollar (US),BMD,1.2367
Bhutan,Ngultrum,BTN,102.7396
Bolivia,Boliviano,BOB,8.5375
Bosnia- Herzegovinia,Marka,BAM,2.26
Botswana,Pula,BWP,16.8386
Brazil,Real,BRL,6.0191
Brunei,Dollar,BND,1.6854
Bulgaria,Lev,BGN,2.26
Burkina Faso,CFA Franc,XOF,757.9707
Burundi,Franc,BIF,3506.897
Cambodia,Riel,KHR,5101.087
Cameroon Republic,CFA Franc,XAF,757.9707
Canada,Dollar,CAD,1.6608
Cape Verde Islands,Escudo,CVE,127.4191
Cayman Islands,Dollar,KYD,1.0168
Central African Republic,CFA Franc,XAF,757.9707
Chad,CFA Franc,XAF,757.9707
Chile,Peso,CLP,1095.509
China,Yuan,CNY,9.0218
Colombia,Peso,COP,4857.966
Comoros,Franc,KMF,568.478
Congo (Brazaville),CFA Franc,XAF,757.9707
Congo (DemRep),Congo Fr,CDF,3009.9
Costa Rica,Colon,CRC,659.0244
Cote d'Ivoire,CFA Franc,XOF,757.9707
Cuba,Peso,CUP,29.657
Czech Republic,Koruna,CZK,28.1804
Denmark,Krone,DKK,8.6121
Djibouti,Franc,DJF,219.9235
Dominica,E Caribbean Dollar,XCD,3.3419
Dominican Republic,Peso,DOP,70.1768
Dubai,Dirham,AED,4.5417
Egypt,Pound,EGP,38.2159
El Salvador,Colon,SVC,10.8209
Equatorial Guinea,CFA Franc,XAF,757.9707
Eritrea,Nakfa,ERN,18.5501
Ethiopia,Birr,ETB,68.4233
Eurozone,Euro,EUR,1.1555
Fiji Islands,Dollar,FJD,2.7919
Fr. Polynesia,CFP Franc,XPF,137.8901
Gabon,CFA Franc,XAF,757.9707
Gambia,Dalasi,GMD,74.8736
Georgia,Lari,GEL,3.3245
Ghana,Cedi,GHS,14.2515
Grenada,E Caribbean Dollar,XCD,3.3419
Guatemala,Quetzal,GTQ,9.7241
Guinea Bissau,CFA Franc,XOF,757.9707
Guinea Republic,Franc,GNF,10613.22
Guyana,Dollar,GYD,258.1823
Haiti,Gourde,HTG,166.7942
Honduras,Lempira,HNL,30.49
Hong Kong,Dollar,HKD,9.6749
Hungary,Forint,HUF,443.3823
Iceland,Krona,ISK,167.8979
India,Rupee,INR,102.7396
Indonesia,Rupiah,IDR,18996.54
Iraq,Dinar,IQD,1621.207
Israel,Shekel,ILS,4.712
Jamaica,Dollar,JMD,191.2289
Japan,Yen,JPY,182.9018
Jordan,Dinar,JOD,0.8768
Kazakhstan,Tenge,KZT,585.4002
Kenya,Schilling,KES,182.0572
Kuwait,Dinar,KWD,0.3818
Kyrgyz Republic,Som,KGS,109.706
Lao People's Dem Rep,Kip,LAK,24692.78
Lebanon,Pound,LBP,18573.1
Lesotho,Loti,LSL,23.3112
Liberia,Dollar (US),LRD,1.2367
Libya,Dinar,LYD,6.02
Macao,Pataca,MOP,9.9651
Macedonia,Denar,MKD,71.1187
Madagascar,Malagasy Ariary,MGA,5589.576
Malawi,Kwacha,MWK,1371.954
Malaysia,Ringgit,MYR,5.7944
Maldive Islands,Rufiyaa,MVR,19.0623
Mali Republic,CFA Franc,XOF,757.9707
Mauritania,Ouguiya,MRU,47.067
Mauritius,Rupee,MUR,55.4356
Mexico,Mexican Peso,MXN,21.0783
Moldova,Leu,MDL,22.1588
Mongolia,Tugrik,MNT,4297.337
Montserrat,E Caribbean Dollar,XCD,3.3419
Morocco,Dirham,MAD,12.674
Mozambique,Metical,MZN,78.9969
Myanmar,Kyat,MMK,2595.586
Nepal,Rupee,NPR,164.4604
New Caledonia,CFP Franc,XPF,137.8901
New Zealand,Dollar,NZD,2.0735
Nicaragua,Gold Cordoba,NIO,45.2683
Niger Republic,CFA Franc,XOF,757.9707
Nigeria,Naira,NGN,959.8714
Norway,Norwegian Krone,NOK,13.2761
Oman,Rial,OMR,0.4761
Pakistan,Rupee,PKR,358.8244
Panama,Balboa,PAB,1.2367
Papua New Guinea,Kina,PGK,4.497
Paraguay,Guarani,PYG,8996.62
Peru,New Sol,PEN,4.58
Philippines,Peso,PHP,70.1383
Poland,Zloty,PLN,5.3661
Qatar,Riyal,QAR,4.5015
Romania,New Leu,RON,5.7445
Russia,Rouble,RUB,119.3831
Rwanda,Franc,RWF,1483.91
Saotome & Principe,Dobra,STD,28.3862
Saudi Arabia,Riyal,SAR,4.6375
Senegal,CFA Franc,XOF,757.9707
Serbia,Dinar,RSD,135.433
Seychelles,Rupee,SCR,16.3508
Sierra Leone,Leone,SLE,27.9466
Singapore,Dollar,SGD,1.6854
Soloman Islands,Dollar,SBD,10.4626
Somali Republic,Schilling,SOS,706.9963
South Africa,Rand,ZAR,23.3112
South Korea,Won,KRW,1640.351
Sri Lanka,Rupee,LKR,401.7241
St Christopher & Anguilla,E Caribbean Dollar,XCD,3.3419
St Lucia,E Caribbean Dollar,XCD,3.3419
St Vincent,E Caribbean Dollar,XCD,3.3419
Sudan Republic,Pound,SDG,743.2344
Surinam,Dollar,SRD,47.5538
Swaziland,Lilangeni,SZL,23.3112
Sweden,Krona,SEK,13.7392
Switzerland,Franc,CHF,1.1098
Taiwan,Dollar,TWD,39.5756
Tanzania,Schilling,TZS,3100.658
Thailand,Baht,THB,44.5935
Togo Republic,CFA Franc,XOF,757.9707
Tonga Islands,Pa'anga (AUS),TOP,2.9585
Trinidad/Tobago,Dollar,TTD,8.3811
Tunisia,Dinar,TND,3.8811
Turkey,Turkish Lira,TRY,33.4323
Turkmenistan,New Manat,TMT,4.3204
UAE,Dirham,AED,4.5417
Uganda,Schilling,UGX,4636.672
Ukraine,Hryvnia,UAH,45.6722
Uruguay,Peso,UYU,47.1958
USA,Dollar,USD,1.2367
Uzbekistan,Sum,UZS,15015.18
Vanuatu,Vatu,VUV,150.874
Venezuela,Bolivar Fuerte,VEF,326751.96
Vietnam,Dong,VND,30190.39
Wallis & Futuna Islands,CFP Franc,XPF,137.8901
Western Samoa,Tala,WST,3.4409
Yemen (Rep of),Rial,YER,309.6628
Zambia,Kwacha,ZMW,25.7599
Zimbabwe,Dollar,ZWL,447.553
